val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.03503386939667491,63.29960059629308,0.04891033552814338,159201.17037325999
0.00932267835186579,81.6537107060685,0.023959343559661155,97744.28298277929
0.01583537474696005,37.29253445309048,0.018707643166184427,79005.38565760416
0.011343962000563243,71.11828460301102,0.01671984603975789,68121.39272018794
0.010008136997990559,29.82430811590278,0.015490645267700744,33312.35102040126
0.009975763250879732,61.61067595886387,0.013973175866118933,33987.29318524894
0.007488445363278025,27.345018901677854,0.012509792130882456,42176.259626309155
0.016744465114678087,86.49398691917753,0.012446867274278302,48012.36037690554
0.009014444466402568,27.69330100718991,0.011112865678713483,53122.771829800884
0.006213111173275351,40.752758977345756,0.011160642611399546,35154.45563919636
