val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.006853834984484093,80.09198731567069,0.024058040193392565,228669.6844948958
0.005684073469757191,61.67913548682833,0.0075862732554264995,56287.44047028053
0.004880367583118782,56.511610997060274,0.006538410165615506,50856.7923323116
0.0044417698738335185,30.585803063792252,0.005619048307255163,56731.948820113874
0.00443417531292129,48.47848277349399,0.004948160368254629,33684.01102567821
0.003134615637318909,24.157116951243736,0.004192057568643053,37367.25030576079
0.00427889928178608,61.60573273881848,0.003911897780405263,44407.30689380038
0.0030666250145364466,21.372019784922465,0.003656206299724468,29662.86060482271
0.0036478921630991993,40.218654691406876,0.0037164251055189614,42939.32885824533
0.0034151336490619534,56.59676667044279,0.003440293956200703,26346.73524641548
