val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.009091523569316667,61.64871619844804,0.024501496660128488,231971.92881359035
0.008769801056496128,60.900376837173894,0.009335015994259867,51032.775340572036
0.007630580961991551,36.91845038249744,0.008649202842202226,47160.70185024869
0.008090812590806374,64.14994474670881,0.00747446198123744,57030.64283815701
0.005807596013419196,40.95344539534463,0.006854983785268614,37564.16213853274
0.0061596618596569735,23.66309152715923,0.00568066879500777,34354.154291919775
0.004387194508624414,23.055376714789777,0.005165322952793311,32753.16504226995
0.005082575832960462,33.003041951392795,0.004985426298453141,33369.26004741914
0.0037473576343295123,25.478380683761635,0.004443810075174196,31304.18648744331
0.004023263763018661,38.707200449965605,0.004298247275463606,44089.63431476528
